food,calories,protein,fat,carbs
hummus commercial,229.0,7.35,17.1,14.9
idli rice,130.0,2.7,0.3,28.0
jack fruit,110.0,1.98,0.35,3.48
jack fruit ripe,302.0,2.74,0.15,14.01
jack fruit seed mature,322.0,5.79,0.44,11.81
jaggery,383.0,0.4,0.1,98.0
jaggery cane,1480.0,1.85,0.16,84.87
jallal,420.0,21.55,1.46,0.0
jambu fruit ripe,235.0,0.82,0.17,12.3
jathi vela meen,453.0,22.45,1.92,0.0
jowar,863.5,9.985,2.365,69.84
kadal bral,368.0,18.72,1.34,0.0
kadali,530.0,22.07,4.2,0.0
kalamaara,523.0,20.89,4.54,0.0
kalava,374.0,19.38,1.2,0.0
kale,35.0,2.92,1.49,4.42
kale frozen drained,36.0,2.94,1.21,5.3
kanamayya,367.0,20.19,0.65,0.0
kannadi paarai,423.0,22.09,1.27,0.0
karimeen,386.0,19.68,1.38,0.0
karnagawala,363.0,19.52,0.84,0.0
karonda fruit,141.0,1.15,1.67,2.87
kayrai,454.0,20.15,3.0,0.0
ketchup restaurant,117.0,1.11,0.55,26.8
khoa,1322.0,16.34,20.62,16.53
kiriyan,556.0,22.49,4.7,0.0
kite fish,413.0,23.07,0.56,0.0
kiwifruit green,58.0,1.06,0.44,14.0
knol khol,67.0,1.58,0.35,1.39
knol khol leaves,178.0,3.12,0.35,6.16
korka,528.0,23.72,3.36,0.0
kovai big,73.0,1.39,0.24,2.01
kovai small,80.0,1.22,0.24,2.41
kulam paarai,501.0,21.62,3.6,0.0
ladies finger,115.0,2.08,0.22,3.62
lemon juice,87.5,0.355,0.475,3.45
lentil dal,1349.0,24.35,0.75,52.53
lentil whole brown,1251.0,22.49,0.64,48.47
lentil whole yellowish,1246.0,22.87,0.61,47.91
lettuce,91.0,1.54,0.27,3.01
lettuce cos or romaine,17.0,1.24,0.26,3.24
lime sweet pulp,114.0,0.76,0.2,5.18
linseeds,1857.0,18.55,35.67,10.99
litchi,225.0,0.99,0.26,11.41
lobster brown,292.0,15.96,0.56,0.0
lobster king siz e,375.0,18.54,0.78,0.0
lotus root,332.0,1.94,0.93,14.67
maagaa,366.0,20.11,0.67,0.0
mace,1488.0,6.24,24.41,26.51
mackerel,423.0,21.51,1.53,0.0
maida,364.0,10.0,1.0,76.0
maize dry,1398.0,8.8,3.77,64.77
maize tender local,502.0,3.57,1.4,22.69
maize tender sweet,405.0,4.16,1.35,16.42
manda clathi,398.0,21.27,1.0,0.0
mango,60.0,0.8,0.4,15.0
mango ginger,177.0,1.45,0.7,6.98
mango green,205.0,0.69,0.08,10.59
mango ripe banganapalli,175.0,0.54,0.55,8.18
mango ripe gulabkhas,209.0,0.52,0.53,10.32
mango ripe himsagar,187.0,0.46,0.54,9.03
mango ripe kesar,231.0,0.54,0.57,11.36
mango ripe neelam,178.0,0.68,0.55,8.21
mango ripe paheri,188.0,0.68,0.58,8.67
mango ripe totapari,248.0,0.41,0.49,12.75
mangosteen,219.0,0.63,0.24,11.41
manila tamarind,342.0,3.56,1.14,13.54
masoor dal,352.0,25.0,1.0,60.0
matha,389.0,21.17,0.79,0.0
melons cantaloupe,34.0,0.82,0.18,8.16
milk,51.0,3.3,2.15,5.0
milk fish,442.0,23.66,1.09,0.0
milk lowfat fluid milkfat with added vitamin a and vitamin d,43.0,3.38,0.95,5.1850000000000005
milk nonfat fluid with added vitamin a and vitamin d,34.0,3.43,0.08,4.904999999999999
milk reduced fat fluid milkfat with added vitamin a and vitamin d,50.0,3.355,1.9,4.905
milk whole buffalo,449.0,3.68,6.58,8.39
milk whole cow,305.0,3.26,4.48,4.94
milk whole milkfat with added vitamin d,60.0,3.275,3.2,4.65
millet,378.0,11.0,4.0,72.0
mint leaves,99.5,3.98,0.675,5.195
mithun chops,536.0,18.19,6.12,0.0
mithun round,485.0,19.61,4.1,0.0
mithun shoulder,736.0,19.05,11.14,0.0
moon fish,526.0,20.74,4.69,0.0
moong dal,347.0,24.0,1.2,63.0
moth bean,1291.0,19.75,1.76,52.09
mud crab,190.0,10.0,0.55,0.0
mullet,393.0,20.23,1.32,0.0
mural,345.0,19.04,0.58,0.0
musk melon orange flesh,97.0,0.42,0.35,4.24
musk melon yellow flesh,116.0,0.53,0.26,5.4
mustard leaves,127.0,3.52,0.51,2.41
mustard oil,0.0,0.0,0.0,0.0
mustard prepared yellow,61.0,4.25,3.38,5.3
mustard seeds,914.0,24.3775,37.0475,25.2
mutton,294.0,25.0,21.0,0.0
myil meen,410.0,22.89,0.56,0.0
nalla bontha,364.0,19.82,0.72,0.0
narba,432.0,21.95,1.6,0.0
nectarines,39.0,1.06,0.28,9.18
niger seeds black,2144.0,18.92,38.61,22.98
niger seeds gray,2128.0,18.34,39.53,20.59
nutmeg,1940.0,6.3,36.52,27.64
nuts almonds dry added,620.0,20.4,57.8,16.2
oats,389.0,17.0,7.0,66.0
octopus,334.0,14.71,1.12,0.0
oil,884.0,0.0,100.0,0.0
oil coconut,833.0,0.0,99.1,0.84
okra,33.0,2.0,0.2,7.0
olives green manzanilla stuffed with pimiento,130.0,1.15,12.9,4.96
omum,1495.0,15.89,21.11,24.53
onion,40.0,1.1,0.1,9.0
onion big,201.0,1.5,0.24,9.56
onion rings breaded par frozen prepared heated in oven,288.0,4.52,14.4,36.3
onion small,237.0,1.82,0.16,11.58
onion stalk,107.0,2.07,0.26,2.99
onions red,44.0,0.94,0.1,9.93
onions white,35.0,0.89,0.13,7.68
onions yellow,38.0,0.83,0.05,8.61
orange,47.0,0.9,0.1,12.0
orange pulp,156.0,0.7,0.13,7.92
oranges navels,47.0,0.91,0.15,11.8
